epoch,lr-Adam,step,test_accuracy,test_dice,test_iou,test_loss,test_mse,train_accuracy_epoch,train_accuracy_step,train_dice_epoch,train_dice_step,train_iou_epoch,train_iou_step,train_loss_epoch,train_loss_step,train_mse_epoch,train_mse_step,val_accuracy,val_dice,val_iou,val_loss,val_mse
,0.001,0,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,0.9413115978240967,,0.0,,0.0,,0.8627143502235413,,0.12051302194595337,,,,,
0,,19,,,,,,,0.9825813174247742,,0.0,,0.0,,0.8036656379699707,,0.0552864745259285,,,,,
0,,29,,,,,,,0.9909967184066772,,0.0,,0.0,,0.7712075710296631,,0.029504695907235146,,,,,
0,,39,,,,,,,0.996562123298645,,0.0,,0.0,,0.7464720606803894,,0.01399441622197628,,,,,
0,,49,,,,,,,0.9976457953453064,,0.0,,0.0,,0.7330910563468933,,0.008496259339153767,,,,,
0,,59,,,,,,,0.9982486367225647,,0.0,,0.0,,0.7223362922668457,,0.005050010047852993,,,,,
0,,69,,,,,,,0.9958396553993225,,0.0,,0.0,,0.7168881893157959,,0.005834030918776989,,,,,
0,,79,,,,,,,0.9986323118209839,,0.0,,0.0,,0.7097252011299133,,0.002411345951259136,,,,,
0,,89,,,,,,,0.9987444281578064,,0.0,,0.0,,0.7067192792892456,,0.0019750739447772503,,,,,
0,,99,,,,,,,0.9990757703781128,,0.0,,0.0,,0.7040278911590576,,0.0013286479515954852,,,,,
0,,109,,,,,,,0.9991480112075806,,0.0,,0.0,,0.7020888924598694,,0.001133392914198339,,,,,
0,,119,,,,,,,0.9993672370910645,,0.0,,0.0,,0.7006078958511353,,0.0008405977860093117,,,,,
0,,129,,,,,,,0.9998281002044678,,0.0,,0.0,,0.699463963508606,,0.00032882849336601794,,,,,
0,,139,,,,,,,1.0,,0.0,,0.0,,0.698489248752594,,0.0001285115722566843,,,,,
0,,149,,,,,,,1.0,,0.0,,0.0,,0.6978373527526855,,0.00010112232121173292,,,,,
0,,159,,,,,,,1.0,,0.0,,0.0,,0.6972090005874634,,7.572132744826376e-05,,,,,
0,,169,,,,,,,1.0,,0.0,,0.0,,0.6967471241950989,,5.8024830650538206e-05,,,,,
0,,179,,,,,,,1.0,,0.0,,0.0,,0.6964961290359497,,5.348489503376186e-05,,,,,
0,,189,,,,,,,1.0,,0.0,,0.0,,0.6960523724555969,,3.8234866224229336e-05,,,,,
0,,199,,,,,,,1.0,,0.0,,0.0,,0.6958216428756714,,3.268725413363427e-05,,,,,
0,,209,,,,,,,1.0,,0.0,,0.0,,0.6955714225769043,,2.7997988581773825e-05,,,,,
0,,219,,,,,,,1.0,,0.0,,0.0,,0.6953649520874023,,2.2199408704182133e-05,,,,,
0,,229,,,,,,,1.0,,0.0,,0.0,,0.695166826248169,,1.8787613953463733e-05,,,,,
0,,239,,,,,,,1.0,,0.0,,0.0,,0.6949869394302368,,1.5386460290756077e-05,,,,,
0,,249,,,,,,,1.0,,0.0,,0.0,,0.6948428750038147,,1.2961269931111019e-05,,,,,
0,,249,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.6947648525238037,1.2093995792383794e-05
0,,249,,,,,,0.986943244934082,,0.0,,0.0,,0.7226952910423279,,0.015266652218997478,,,,,,
1,,250,1.0,0.0,0.0,0.6947646141052246,1.2092084944015369e-05,,,,,,,,,,,,,,,
