epoch,lr-Adam,step,train_accuracy_epoch,train_accuracy_step,train_dice_epoch,train_dice_step,train_iou_epoch,train_iou_step,train_loss_epoch,train_loss_step,train_mse_epoch,train_mse_step,val_accuracy,val_dice,val_iou,val_loss,val_mse
,0.001,0,,,,,,,,,,,,,,,
0,,9,,0.999858021736145,,0.0,,0.0,,0.8247162699699402,,0.06576646119356155,,,,,
0,,19,,1.0,,0.0,,0.0,,0.7655525207519531,,0.020651601254940033,,,,,
0,,29,,1.0,,0.0,,0.0,,0.7399261593818665,,0.009786749258637428,,,,,
0,,39,,1.0,,0.0,,0.0,,0.7227811217308044,,0.003689211793243885,,,,,
0,,49,,1.0,,0.0,,0.0,,0.7146021127700806,,0.0020923970732837915,,,,,
0,,59,,1.0,,0.0,,0.0,,0.70830237865448,,0.0009643955272622406,,,,,
0,,69,,1.0,,0.0,,0.0,,0.7047854065895081,,0.0005599439609795809,,,,,
0,,79,,1.0,,0.0,,0.0,,0.7027125358581543,,0.00042928976472467184,,,,,
0,,89,,1.0,,0.0,,0.0,,0.700727641582489,,0.0002386686683166772,,,,,
0,,99,,1.0,,0.0,,0.0,,0.6994487047195435,,0.00016587872232776135,,,,,
0,,109,,1.0,,0.0,,0.0,,0.6986311078071594,,0.00013811788812745363,,,,,
0,,119,,1.0,,0.0,,0.0,,0.6978938579559326,,9.456848783884197e-05,,,,,
0,,129,,1.0,,0.0,,0.0,,0.6972571015357971,,7.153557817218825e-05,,,,,
0,,139,,1.0,,0.0,,0.0,,0.6967624425888062,,5.527076427824795e-05,,,,,
0,,149,,1.0,,0.0,,0.0,,0.6963784098625183,,4.563684342429042e-05,,,,,
0,,159,,1.0,,0.0,,0.0,,0.6960683465003967,,3.615910463850014e-05,,,,,
0,,169,,1.0,,0.0,,0.0,,0.6958216428756714,,3.3038573747035116e-05,,,,,
0,,179,,1.0,,0.0,,0.0,,0.6955547332763672,,2.4874847440514714e-05,,,,,
0,,189,,1.0,,0.0,,0.0,,0.6953244805335999,,2.0349978512967937e-05,,,,,
0,,199,,1.0,,0.0,,0.0,,0.6951455473899841,,1.709116440906655e-05,,,,,
0,,209,,1.0,,0.0,,0.0,,0.695003867149353,,1.5828489267732948e-05,,,,,
0,,219,,1.0,,0.0,,0.0,,0.6948413252830505,,1.2594628969964106e-05,,,,,
0,,229,,1.0,,0.0,,0.0,,0.6947294473648071,,1.0766110790427774e-05,,,,,
0,,239,,1.0,,0.0,,0.0,,0.6946172714233398,,9.867602784652263e-06,,,,,
0,,249,,1.0,,0.0,,0.0,,0.6944918632507324,,7.900262971816119e-06,,,,,
0,,259,,1.0,,0.0,,0.0,,0.6944018006324768,,6.896285867696861e-06,,,,,
0,,269,,1.0,,0.0,,0.0,,0.6943194270133972,,6.07687616138719e-06,,,,,
0,,279,,1.0,,0.0,,0.0,,0.69425368309021,,5.357348982215626e-06,,,,,
0,,289,,1.0,,0.0,,0.0,,0.6942009329795837,,5.229717316979077e-06,,,,,
0,,299,,1.0,,0.0,,0.0,,0.6941211819648743,,4.188237653579563e-06,,,,,
0,,299,,,,,,,,,,,1.0,0.0,0.0,0.6941238641738892,4.2618489715096075e-06
0,,299,0.9960996508598328,,0.0,,0.0,,0.7098842263221741,,0.006362203974276781,,,,,,
,0.001,300,,,,,,,,,,,,,,,
1,,309,,1.0,,0.0,,0.0,,0.694076657295227,,3.727078592419275e-06,,,,,
1,,319,,1.0,,0.0,,0.0,,0.694023847579956,,3.57045246346388e-06,,,,,
1,,329,,1.0,,0.0,,0.0,,0.6939656138420105,,2.9383550099737477e-06,,,,,
1,,339,,1.0,,0.0,,0.0,,0.693929135799408,,2.8022043352393666e-06,,,,,
1,,349,,1.0,,0.0,,0.0,,0.693884551525116,,2.457519258314278e-06,,,,,
1,,359,,1.0,,0.0,,0.0,,0.6938530802726746,,2.1689452296413947e-06,,,,,
1,,369,,1.0,,0.0,,0.0,,0.6938143372535706,,2.0065847365913214e-06,,,,,
1,,379,,1.0,,0.0,,0.0,,0.693786084651947,,1.8324755046705832e-06,,,,,
1,,389,,1.0,,0.0,,0.0,,0.6937657594680786,,1.6633241557428846e-06,,,,,
1,,399,,1.0,,0.0,,0.0,,0.6937312483787537,,1.5206508123810636e-06,,,,,
1,,409,,1.0,,0.0,,0.0,,0.6937076449394226,,1.4028594250703463e-06,,,,,
1,,419,,1.0,,0.0,,0.0,,0.6936877369880676,,1.2814717820219812e-06,,,,,
1,,429,,1.0,,0.0,,0.0,,0.6936609745025635,,1.174742237708415e-06,,,,,
1,,439,,1.0,,0.0,,0.0,,0.6936408877372742,,1.1044182883779285e-06,,,,,
1,,449,,1.0,,0.0,,0.0,,0.69362473487854,,9.979513606594992e-07,,,,,
