epoch,lr-Adam,step,train_accuracy_step,train_dice_step,train_iou_step,train_loss_step,train_mse_step
,0.001,0,,,,,
0,,9,0.8863973617553711,0.0,0.0,1.9223910570144653,0.20283210277557373
0,,19,0.9728505611419678,0.0,0.0,1.8489577770233154,0.11067164689302444
0,,29,0.9857277274131775,0.0,0.0,1.8052942752838135,0.06361118704080582
0,,39,0.9911735653877258,0.0,0.0,1.7634742259979248,0.028265684843063354
